"Server","TimeCreated","LogName","Source","Id","Level","Message"
"ASPYKTOTSSQL2","7/22/2026 5:21:18 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 5:26:18 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 5:31:18 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 5:36:18 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 5:41:18 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 5:46:18 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 5:51:18 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 5:56:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 6:01:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","7/22/2026 6:06:19 PM","Application","MSSQLSERVER","18456","Information","Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
