"Server","TimeCreated","LogName","Source","Id","Level","Message"
"ASPOTS4","7/22/2026 9:18:18 PM","System","Service Control Manager","7036","Information","The BAMMService service entered the stopped state."
"ASPOTS4","7/22/2026 9:18:24 PM","System","Service Control Manager","7036","Information","The BAMMService service entered the running state."
,,,,,,
,,,,,,
,,,,,,
