"Server","File","TimeCreated","Line"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 5:46:18 PM","2026-07-22 17:46:18.84 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 5:51:18 PM","2026-07-22 17:51:18.97 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 5:51:18 PM","2026-07-22 17:51:18.97 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 5:56:19 PM","2026-07-22 17:56:19.00 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 5:56:19 PM","2026-07-22 17:56:19.00 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:01:19 PM","2026-07-22 18:01:19.03 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:01:19 PM","2026-07-22 18:01:19.03 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:06:19 PM","2026-07-22 18:06:19.06 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:06:19 PM","2026-07-22 18:06:19.06 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:11:19 PM","2026-07-22 18:11:19.09 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:11:19 PM","2026-07-22 18:11:19.09 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:16:19 PM","2026-07-22 18:16:19.22 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:16:19 PM","2026-07-22 18:16:19.22 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:21:19 PM","2026-07-22 18:21:19.25 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:21:19 PM","2026-07-22 18:21:19.25 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:26:19 PM","2026-07-22 18:26:19.29 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:26:19 PM","2026-07-22 18:26:19.29 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:31:19 PM","2026-07-22 18:31:19.32 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:31:19 PM","2026-07-22 18:31:19.32 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:36:19 PM","2026-07-22 18:36:19.45 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:36:19 PM","2026-07-22 18:36:19.45 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:41:19 PM","2026-07-22 18:41:19.47 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:41:19 PM","2026-07-22 18:41:19.47 Logon       Error: 18456, Severity: 14, State: 5."
"ASPYKTOTSSQL2","ERRORLOG.1","7/22/2026 6:46:19 PM","2026-07-22 18:46:19.60 Logon       Login failed for user 'SSCDIRECT\ASPYKTOTSSQL2SQLSafe'. Reason: Could not find a login matching the name provided. [CLIENT: 10.128.11.183]"
